data,begentime,activity,overtime
2025-05-01,07:30:00,readingMinutes,08:30:00
2025-05-01,12:00:00,sleepMinutes,13:00:00
2025-05-01,15:00:00,gameMinutes,16:30:00
2025-05-01,19:00:00,waterCount,20:00:00
2025-05-01,21:00:00,exciseMinutes,22:00:00
2025-05-02,08:00:00,readingMinutes,09:15:00
2025-05-02,13:00:00,sleepMinutes,14:00:00
2025-05-02,16:00:00,gameMinutes,17:45:00
2025-05-02,18:30:00,waterCount,19:30:00
2025-05-02,20:00:00,exciseMinutes,21:30:00
2025-05-03,07:15:00,readingMinutes,08:45:00
2025-05-03,11:30:00,sleepMinutes,12:30:00
2025-05-03,14:30:00,gameMinutes,16:00:00
2025-05-03,17:00:00,waterCount,18:15:00
2025-05-03,19:30:00,exciseMinutes,20:45:00
2025-05-04,08:30:00,readingMinutes,09:45:00
2025-05-04,12:30:00,sleepMinutes,13:30:00
2025-05-04,15:30:00,gameMinutes,17:00:00
2025-05-04,18:00:00,waterCount,19:15:00
2025-05-04,21:00:00,exciseMinutes,22:30:00
2025-05-05,07:45:00,readingMinutes,09:00:00
2025-05-05,13:00:00,sleepMinutes,14:15:00
2025-05-05,16:15:00,gameMinutes,17:45:00
2025-05-05,19:00:00,waterCount,20:15:00
2025-05-05,20:30:00,exciseMinutes,22:00:00
2025-05-06,08:15:00,readingMinutes,09:30:00
2025-05-06,12:00:00,sleepMinutes,13:00:00
2025-05-06,14:45:00,gameMinutes,16:15:00
2025-05-06,17:30:00,waterCount,18:45:00
2025-05-06,19:45:00,exciseMinutes,21:00:00
2025-05-07,07:00:00,readingMinutes,08:15:00
2025-05-07,13:30:00,sleepMinutes,14:30:00
2025-05-07,15:45:00,gameMinutes,17:15:00
2025-05-07,18:00:00,waterCount,19:15:00
2025-05-07,20:00:00,exciseMinutes,21:30:00
2025-05-08,08:45:00,readingMinutes,10:00:00
2025-05-08,12:45:00,sleepMinutes,13:45:00
2025-05-08,16:00:00,gameMinutes,17:30:00
2025-05-08,18:45:00,waterCount,19:45:00
2025-05-08,21:15:00,exciseMinutes,22:45:00
2025-05-09,07:30:00,readingMinutes,08:45:00
2025-05-09,13:15:00,sleepMinutes,14:15:00
2025-05-09,15:30:00,gameMinutes,17:00:00
2025-05-09,18:15:00,waterCount,19:30:00
2025-05-09,20:45:00,exciseMinutes,22:15:00
2025-05-10,08:00:00,readingMinutes,09:15:00
2025-05-10,12:15:00,sleepMinutes,13:15:00
2025-05-10,16:30:00,gameMinutes,18:00:00
2025-05-10,18:45:00,waterCount,19:45:00
2025-05-10,21:00:00,exciseMinutes,22:30:00
2025-05-11,07:15:00,readingMinutes,08:30:00
2025-05-11,12:15:00,sleepMinutes,13:15:00
2025-05-11,15:45:00,gameMinutes,17:15:00
2025-05-11,18:30:00,waterCount,19:30:00
2025-05-11,20:45:00,exciseMinutes,22:00:00
2025-05-12,08:00:00,readingMinutes,09:45:00
2025-05-12,13:00:00,sleepMinutes,14:15:00
2025-05-12,16:15:00,gameMinutes,17:45:00
2025-05-12,19:00:00,waterCount,20:15:00
2025-05-12,21:15:00,exciseMinutes,22:45:00
